left,label,right
,,
Scotland,=== MATCH 52 ===,Brazil
8,WCs,22
0,Won,5
24,High,1
24,Avg,8.6
23,GP,113
4,W,75
7,D,19
12,L,19
25,GF,235
1.09,GFpg,2.08
41,GA,107
1.78,GApg,0.95
19,P,244
0.83,PPG,2.16
,-- H2H --,
4,H2H GP,4
0,H2H W,3
1,H2H D,1
3,H2H L,0
2,H2H GF,7
7,H2H GA,2
,,
South Africa,=== MATCH 53 ===,South Korea
3,WCs,11
0,Won,0
24,High,3.5
24,Avg,20.0
9,GP,38
2,W,7
4,D,10
3,L,21
11,GF,39
1.22,GFpg,1.03
16,GA,78
1.78,GApg,2.05
