left,label,right
0,H2H GF,0
0,H2H GA,0
,,
Colombia,=== MATCH 69 ===,Portugal
6,WCs,8
0,Won,0
6.5,High,3.5
17.2,Avg,13.8
22,GP,35
9,W,17
3,D,6
10,L,12
32,GF,61
1.45,GFpg,1.74
30,GA,41
1.36,GApg,1.17
30,P,57
1.36,PPG,1.63
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
DR Congo,=== MATCH 70 ===,Uzbekistan
1,WCs,0
0,Won,0
24,High,0
24,Avg,0
3,GP,0
0,W,0
0,D,0
3,L,0
0,GF,0
0.0,GFpg,0
14,GA,0
4.67,GApg,0
0,P,0
0.0,PPG,0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Algeria,=== MATCH 71 ===,Austria
4,WCs,7
0,Won,0
12.5,High,3.5
21.1,Avg,14.9
13,GP,29
3,W,12
3,D,4
7,L,13
13,GF,43
1.0,GFpg,1.48
19,GA,47
1.46,GApg,1.62
12,P,40
0.92,PPG,1.38
,-- H2H --,
1,H2H GP,1
0,H2H W,1
0,H2H D,0
1,H2H L,0
0,H2H GF,2
2,H2H GA,0
,,
Jordan,=== MATCH 72 ===,Argentina
0,WCs,18
0,Won,3
0,High,1
0,Avg,9.5
0,GP,88
0,W,47
0,D,17
0,L,24
0,GF,152
0,GFpg,1.73
0,GA,101
0,GApg,1.15
0,P,158
0,PPG,1.8
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
