match,slug,TEAM A,TEAM B,S0_stadium,S0_datetime,S1_WorldCups,S1_Won,S1_Best(Avg),S1_Played,S1_W,S1_D,S1_L,S1_GoalsFor(pg),S1_GoalsAgainst(pg),S1_Points(PPG),S2_H2H_W,S2_H2H_D,S2_H2H_L,S2_H2H_GF,S2_H2H_GA,S3_AllTime_A,S3_AllTime_B,S3_Watch_A,S3_Watch_B,S4_Headline_A,S4_Hook_A,S4_Headline_B,S4_Hook_B,S5_Coach_A,S5_XI_A,S5_Coach_B,S5_XI_B
24,m024-uzbekistan-vs-colombia,Uzbekistan,Colombia,Estadio Azteca,June 18 2026,0 | 6,0 | 0,0(0) | 6.5(17.2),0 | 22,0 | 9,0 | 3,0 | 10,0(0) | 32(1.45),0(0) | 30(1.36),0(0) | 30(1.36),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,", ","James Rodríguez (6), Yerry Mina (3)",", ",", Yerry Mina (3)",FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,QUARTER-FINALS THEIR FINEST HOUR,READY FOR THE STAGE,,,,
25,m025-czech-republic-vs-south-africa,Czech Republic,South Africa,Mercedes-Benz Stadium,June 18 2026,1 | 3,0 | 0,24(24) | 24(24),3 | 9,1 | 2,0 | 4,2 | 3,3(1.0) | 11(1.22),4(1.33) | 16(1.78),3(1.0) | 10(1.11),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Tomáš Rosický (2), Jan Koller (1)","Benni McCarthy (2), Shaun Bartlett (2)",", Tomáš Rosický (2)",", Benni McCarthy (2)",ON THE GREATEST STAGE,OUT TO MAKE THEIR MARK,3 WORLD CUPS · OUT TO MAKE THEIR MARK,ALL TO PLAY FOR,,,,
26,m026-switzerland-vs-bosnia-herzegovina,Switzerland,Bosnia & Herzegovina,SoFi Stadium,June 18 2026,12 | 1,0 | 0,6.5(14.8) | 24(24),40 | 3,13 | 1,8 | 0,19 | 2,51(1.27) | 4(1.33),71(1.77) | 4(1.33),47(1.18) | 3(1.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Josef Hügi (6), Xherdan Shaqiri (5)","Sead Kolašinac (1), Vedad Ibišević (1)",", Xherdan Shaqiri (5)",", Sead Kolašinac (1)",12 TRIES · NEVER PAST THE QUARTERS,ALL TO PLAY FOR,ON THE GREATEST STAGE,EYES ON THE FINAL SQUAD,,,,
27,m027-canada-vs-qatar,Canada,Qatar,BC Place,June 18 2026,2 | 1,0 | 0,24(24) | 24(24),6 | 3,0 | 0,0 | 0,6 | 3,2(0.33) | 1(0.33),12(2.0) | 7(2.33),0(0.0) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Alphonso Davies (1), ","Mohammed Muntari (1), ",", Alphonso Davies (1)",", Mohammed Muntari (1)",2 WORLD CUPS · OUT TO MAKE THEIR MARK,THE BIG STAGE AWAITS,ON THE GREATEST STAGE,WHO STEPS UP?,,,,
28,m028-mexico-vs-south-korea,Mexico,South Korea,Estadio Akron,June 19 2026,17 | 11,0 | 0,6.5(17.2) | 3.5(20.0),60 | 38,17 | 7,15 | 10,28 | 21,62(1.03) | 39(1.03),101(1.68) | 78(2.05),66(1.1) | 31(0.82),2 | 0,0 | 0,0 | 2,5 | 2,2 | 5,"Luis Hernández (4), Javier Hernández (4)","Jung-hwan Ahn (3), Ji-sung Park (3)",", Javier Hernández (4)","Heung-min Son, Heung-min Son (3)",17 TRIES · NEVER PAST THE QUARTERS,WHO STEPS UP?,SEMI-FINALISTS · THE NEARLY MEN,SON CARRIES KOREA'S HOPES,,,,
29,m029-usa-vs-australia,USA,Australia,Lumen Field,June 19 2026,11 | 6,0 | 0,3.5(15.3) | 12.5(20.2),37 | 20,9 | 4,8 | 4,20 | 12,40(1.08) | 17(0.85),66(1.78) | 37(1.85),35(0.95) | 16(0.8),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Landon Donovan (5), Bert Patenaude (4)","Tim Cahill (5), Mile Jedinak (3)",", Timothy Weah (1)",", Mile Jedinak (3)",SEMI-FINALISTS · THE NEARLY MEN,ALL TO PLAY FOR,ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,,,,
30,m030-scotland-vs-morocco,Scotland,Morocco,Gillette Stadium,June 19 2026,8 | 6,0 | 0,24(24) | 3.5(18.7),23 | 23,4 | 5,7 | 7,12 | 11,25(1.09) | 20(0.87),41(1.78) | 27(1.17),19(0.83) | 22(0.96),0 | 1,0 | 0,1 | 0,0 | 3,3 | 0,"Joe Jordan (4), Kenny Dalglish (2)","Youssef En-Nesyri (3), Abderrazak Khairi (2)",", Joe Jordan (4)",", Youssef En-Nesyri (3)",8 TRIES · CHASING A FIRST KNOCKOUT,READY FOR THE STAGE,SEMI-FINALISTS · THE NEARLY MEN,READY FOR THE STAGE,,,,
31,m031-brazil-vs-haiti,Brazil,Haiti,Lincoln Financial Field,June 20 2026,22 | 1,5 | 0,1(8.6) | 24(24),113 | 3,75 | 0,19 | 0,19 | 3,235(2.08) | 2(0.67),107(0.95) | 14(4.67),244(2.16) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Ronaldo (15), Pelé (12)","Emmanuel Sanon (2), ","Vinicius Junior, Neymar (8)",", Emmanuel Sanon (2)",5-TIME WORLD CHAMPIONS,VINI JR. — THE NEW KING?,ON THE GREATEST STAGE,OUT TO MAKE THEIR MARK,,,,
32,m032-turkey-vs-paraguay,Turkey,Paraguay,Levi's Stadium,June 20 2026,2 | 8,0 | 0,3.5(13.8) | 6.5(17.5),10 | 27,5 | 7,1 | 10,4 | 10,20(2.0) | 30(1.11),17(1.7) | 38(1.41),16(1.6) | 31(1.15),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Suat Mamat (3), Burhan Sargun (3)","Nelson Cuevas (3), Florencio Amarilla (2)","Arda Güler, Suat Mamat (3)",", Nelson Cuevas (3)",SEMI-FINALISTS · THE NEARLY MEN,CAN ARDA SHINE AGAIN?,QUARTER-FINALS THEIR FINEST HOUR,THE BIG STAGE AWAITS,,,,
33,m033-netherlands-vs-sweden,Netherlands,Sweden,NRG Stadium,June 20 2026,11 | 12,0 | 0,2(6.9) | 2(13.0),55 | 51,30 | 19,14 | 13,11 | 19,96(1.75) | 80(1.57),52(0.95) | 73(1.43),104(1.89) | 70(1.37),0 | 0,1 | 1,0 | 0,0 | 0,0 | 0,"Johnny Rep (7), Rob Rensenbrink (6)","Kennet Andersson (5), Henrik Larsson (5)",", Memphis Depay (3)",", Andreas Granqvist (2)",RUNNERS-UP ONCE · STILL CHASING THE CROWN,THE BIG STAGE AWAITS,RUNNERS-UP ONCE · STILL CHASING THE CROWN,READY FOR THE STAGE,,,,
34,m034-germany-vs-ivory-coast,Germany,Ivory Coast,BMO Field,June 20 2026,20 | 3,4 | 0,1(6.1) | 24(24),111 | 9,68 | 3,21 | 1,22 | 5,230(2.07) | 13(1.44),126(1.14) | 14(1.56),225(2.03) | 10(1.11),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Miroslav Klose (16), Gerd Müller (14)","Didier Drogba (2), Aruna Dindane (2)",", Toni Kroos (3)",", Didier Drogba (2)",4-TIME WORLD CHAMPIONS,OUT TO MAKE THEIR MARK,3 WORLD CUPS · OUT TO MAKE THEIR MARK,WHO STEPS UP?,,,,
35,m035-ecuador-vs-curacao,Ecuador,Curacao,Arrowhead Stadium,June 21 2026,4 | 0,0 | 0,12.5(21.1) | 0(0),13 | 0,5 | 0,2 | 0,6 | 0,14(1.08) | 0(0),14(1.08) | 0(0),17(1.31) | 0(0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Enner Valencia (6), Agustín Delgado (3)",", ",", Enner Valencia (6)",", ",ROUND OF 16 · OUT TO GO FURTHER,ALL TO PLAY FOR,FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,,,,
36,m036-tunisia-vs-japan,Tunisia,Japan,Estadio BBVA,June 21 2026,6 | 7,0 | 0,24(24) | 12.5(17.4),18 | 25,3 | 7,5 | 6,10 | 12,14(0.78) | 25(1.0),26(1.44) | 33(1.32),14(0.78) | 27(1.08),0 | 1,0 | 0,1 | 0,0 | 2,2 | 0,"Wahbi Khazri (3), Ali Kaabi (1)","Keisuke Honda (4), Junichi Inamoto (2)",", Wahbi Khazri (3)",", Keisuke Honda (4)",6 WORLD CUPS · EYEING A BREAKTHROUGH,WHO STEPS UP?,ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,,,,
37,m037-spain-vs-saudi-arabia,Spain,Saudi Arabia,Mercedes-Benz Stadium,June 21 2026,16 | 6,1 | 0,1(14.6) | 12.5(22.1),66 | 19,31 | 4,17 | 2,18 | 13,108(1.64) | 14(0.74),74(1.12) | 44(2.32),110(1.67) | 14(0.74),1 | 0,0 | 0,0 | 1,1 | 0,0 | 1,"David Villa (9), Emilio Butragueño (5)","Sami Al-Jaber (3), Salem Al-Dawsari (3)",", Diego Costa (3)",", Salem Al-Dawsari (3)",1x CHAMPIONS · CHASING MORE GLORY,OUT TO MAKE THEIR MARK,ROUND OF 16 · OUT TO GO FURTHER,EYES ON THE FINAL SQUAD,,,,
38,m038-belgium-vs-iran,Belgium,Iran,SoFi Stadium,June 21 2026,14 | 6,0 | 0,3.5(14.9) | 24(24),51 | 18,21 | 3,10 | 4,20 | 11,69(1.35) | 13(0.72),74(1.45) | 31(1.72),73(1.43) | 13(0.72),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Marc Wilmots (5), Romelu Lukaku (5)","Mehdi Taremi (2), Andranik Eskandarian (1)",", Romelu Lukaku (5)",", Mehdi Taremi (2)",SEMI-FINALISTS · THE NEARLY MEN,WHO STEPS UP?,6 WORLD CUPS · EYEING A BREAKTHROUGH,THE BIG STAGE AWAITS,,,,
39,m039-uruguay-vs-cape-verde,Uruguay,Cape Verde,Hard Rock Stadium,June 21 2026,14 | 0,2 | 0,1(13.0) | 0(0),59 | 0,25 | 0,13 | 0,21 | 0,89(1.51) | 0(0),76(1.29) | 0(0),88(1.49) | 0(0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Oscar Míguez (8), Luis Suárez (7)",", ",", Luis Suárez (7)",", ",2x CHAMPIONS · CHASING MORE GLORY,THE BIG STAGE AWAITS,FIRST-EVER WORLD CUP,ALL TO PLAY FOR,,,,
40,m040-new-zealand-vs-egypt,New Zealand,Egypt,BC Place,June 22 2026,2 | 3,0 | 0,24(24) | 12.5(20.2),6 | 7,0 | 0,3 | 2,3 | 5,4(0.67) | 5(0.71),14(2.33) | 12(1.71),3(0.5) | 2(0.29),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Steve Sumner (1), Steve Wooddin (1)","Abdulrahman Fawzi (2), Mohamed Salah (2)",", Steve Sumner (1)","Mohamed Salah, Mohamed Salah (2)",2 WORLD CUPS · OUT TO MAKE THEIR MARK,WHO STEPS UP?,ROUND OF 16 · OUT TO GO FURTHER,SALAH — THE PHARAOH RETURNS,,,,
41,m041-argentina-vs-austria,Argentina,Austria,AT&T Stadium,June 22 2026,18 | 7,3 | 0,1(9.5) | 3.5(14.9),88 | 29,47 | 12,17 | 4,24 | 13,152(1.73) | 43(1.48),101(1.15) | 47(1.62),158(1.8) | 40(1.38),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Lionel Messi (13), Gabriel Batistuta (10)","Erich Probst (6), Hans Krankl (5)","Lionel Messi, Lionel Messi (13)",", Erich Probst (6)",3x CHAMPIONS · CHASING MORE GLORY,MESSI — THE LAST DANCE,SEMI-FINALISTS · THE NEARLY MEN,OUT TO MAKE THEIR MARK,,,,
