match_no,slug,phase,team_a,a_wcs,a_best,a_pwdl,a_gfga,team_b,b_wcs,b_best,b_pwdl,b_gfga,h2h_meetings,h2h_detail,a_resolved,b_resolved,status
37,m037-spain-vs-saudi-arabia,group,Spain,16,WINNERS,66  31-17-18,108-74,Saudi Arabia,6,Round of 16,19  4-2-13,14-44,1,2006 group: Spain 1-0 Saudi Arabia,,,ok
38,m038-belgium-vs-iran,group,Belgium,14,3rd,51  21-10-20,69-74,Iran,6,Group stage,18  3-4-11,13-31,0,,,,ok
39,m039-uruguay-vs-cape-verde,group,Uruguay,14,WINNERS,59  25-13-21,89-76,Cape Verde,0,Debut,0  0-0-0,0-0,0,,,NO-DATA,ok
40,m040-new-zealand-vs-egypt,group,New Zealand,2,Group stage,6  0-3-3,4-14,Egypt,3,Round of 16,7  0-2-5,5-12,0,,,,ok
41,m041-argentina-vs-austria,group,Argentina,18,WINNERS,88  47-17-24,152-101,Austria,7,3rd,29  12-4-13,43-47,0,,,,ok
42,m042-france-vs-iraq,group,France,16,WINNERS,73  39-14-20,136-85,Iraq,1,Group stage,3  0-0-3,1-4,0,,,,ok
43,m043-norway-vs-senegal,group,Norway,3,Round of 16,8  2-3-3,7-8,Senegal,3,Quarter-final,12  5-3-4,16-17,0,,,,ok
44,m044-jordan-vs-algeria,group,Jordan,0,Debut,0  0-0-0,0-0,Algeria,4,Round of 16,13  3-3-7,13-19,0,,NO-DATA,,ok
45,m045-portugal-vs-uzbekistan,group,Portugal,8,3rd,35  17-6-12,61-41,Uzbekistan,0,Debut,0  0-0-0,0-0,0,,,NO-DATA,ok
46,m046-england-vs-ghana,group,England,16,WINNERS,74  32-22-20,104-68,Ghana,4,Quarter-final,15  5-3-7,18-23,0,,,,ok
47,m047-panama-vs-croatia,group,Panama,1,Group stage,3  0-0-3,2-11,Croatia,6,Runners-up,30  13-8-9,43-33,0,,,,ok
48,m048-colombia-vs-dr-congo,group,Colombia,6,Quarter-final,22  9-3-10,32-30,DR Congo,1,Group stage,3  0-0-3,0-14,0,,,,ok
49,m049-switzerland-vs-canada,group,Switzerland,12,Quarter-final,40  13-8-19,51-71,Canada,2,Group stage,6  0-0-6,2-12,0,,,,ok
50,m050-bosnia-herzegovina-vs-qatar,group,Bosnia & Herzegovina,1,Group stage,3  1-0-2,4-4,Qatar,1,Group stage,3  0-0-3,1-7,0,,,,ok
51,m051-morocco-vs-haiti,group,Morocco,6,3rd,23  5-7-11,20-27,Haiti,1,Group stage,3  0-0-3,2-14,0,,,,ok
52,m052-scotland-vs-brazil,group,Scotland,8,Group stage,23  4-7-12,25-41,Brazil,22,WINNERS,113  75-19-19,235-107,4,1974 group: Scotland 0-0 Brazil | 1982 group: Scotland 1-4 Brazil | 1990 group: Scotland 0-1 Brazil | 1998 group: Scotland 1-2 Brazil,,,ok
53,m053-south-africa-vs-south-korea,group,South Africa,3,Group stage,9  2-4-3,11-16,South Korea,11,3rd,38  7-10-21,39-78,0,,,,ok
54,m054-czech-republic-vs-mexico,group,Czech Republic,1,Group stage,3  1-0-2,3-4,Mexico,17,Quarter-final,60  17-15-28,62-101,0,,,,ok
55,m055-curacao-vs-ivory-coast,group,Curacao,0,Debut,0  0-0-0,0-0,Ivory Coast,3,Group stage,9  3-1-5,13-14,0,,NO-DATA,,ok
56,m056-ecuador-vs-germany,group,Ecuador,4,Round of 16,13  5-2-6,14-14,Germany,20,WINNERS,111  68-21-22,230-126,1,2006 group: Ecuador 0-3 Germany,,,ok
57,m057-tunisia-vs-netherlands,group,Tunisia,6,Group stage,18  3-5-10,14-26,Netherlands,11,Runners-up,55  30-14-11,96-52,0,,,,ok
58,m058-japan-vs-sweden,group,Japan,7,Round of 16,25  7-6-12,25-33,Sweden,12,Runners-up,51  19-13-19,80-73,0,,,,ok
59,m059-turkey-vs-usa,group,Turkey,2,3rd,10  5-1-4,20-17,USA,11,Semi-final,37  9-8-20,40-66,0,,,,ok
60,m060-paraguay-vs-australia,group,Paraguay,8,Quarter-final,27  7-10-10,30-38,Australia,6,Round of 16,20  4-4-12,17-37,0,,,,ok
61,m061-norway-vs-france,group,Norway,3,Round of 16,8  2-3-3,7-8,France,16,WINNERS,73  39-14-20,136-85,0,,,,ok
62,m062-senegal-vs-iraq,group,Senegal,3,Quarter-final,12  5-3-4,16-17,Iraq,1,Group stage,3  0-0-3,1-4,0,,,,ok
